"Gebieden in Nederland 2021"
""
"","Subject"
"","Codes en namen van gemeenten|Code","Codes en namen van gemeenten|Naam","Codes en namen van gemeenten|Sortering naam","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|Arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Arrondissementen (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|COROP-gebieden|Code","Lokaliseringen van gemeenten|COROP-gebieden|Naam","Lokaliseringen van gemeenten|COROP-subgebieden|Code","Lokaliseringen van gemeenten|COROP-subgebieden|Naam","Lokaliseringen van gemeenten|COROP-plusgebieden|Code","Lokaliseringen van gemeenten|COROP-plusgebieden|Naam","Lokaliseringen van gemeenten|GGD-regio's|Code","Lokaliseringen van gemeenten|GGD-regio's|Naam","Lokaliseringen van gemeenten|Jeugdregio's|Code","Lokaliseringen van gemeenten|Jeugdregio's|Naam","Lokaliseringen van gemeenten|Kamer van Koophandel|Code","Lokaliseringen van gemeenten|Kamer van Koophandel|Naam","Lokaliseringen van gemeenten|Landbouwgebieden|Code","Lokaliseringen van gemeenten|Landbouwgebieden|Naam","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Code","Lokaliseringen van gemeenten|Landbouwgebieden (groepen)|Naam","Lokaliseringen van gemeenten|Landsdelen|Code","Lokaliseringen van gemeenten|Landsdelen|Naam","Lokaliseringen van gemeenten|Provincies|Code","Lokaliseringen van gemeenten|Provincies|Naam","Lokaliseringen van gemeenten|Regionale eenheden|Code","Lokaliseringen van gemeenten|Regionale eenheden|Naam","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Code","Lokaliseringen van gemeenten|Regionale Energiestrategie regio’s|Naam","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Code","Lokaliseringen van gemeenten|Regionale Meld- en Coördinatiepunten|Naam","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Code","Lokaliseringen van gemeenten|RegioPlus-arbeidsmarktregio's|Naam","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Code","Lokaliseringen van gemeenten|Ressorten (rechtsgebieden)|Naam","Lokaliseringen van gemeenten|SubRES-regio’s|Code","Lokaliseringen van gemeenten|SubRES-regio’s|Naam","Lokaliseringen van gemeenten|Toeristengebieden|Code","Lokaliseringen van gemeenten|Toeristengebieden|Naam","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Code","Lokaliseringen van gemeenten|Veilig Thuis Regio's|Naam","Lokaliseringen van gemeenten|Veiligheidsregio's|Code","Lokaliseringen van gemeenten|Veiligheidsregio's|Naam","Lokaliseringen van gemeenten|Zorgkantoorregio's|Code","Lokaliseringen van gemeenten|Zorgkantoorregio's|Naam","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Code","Grootte en stedelijkheid van gemeenten|Gemeentegrootte|Omschrijving","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Code","Grootte en stedelijkheid van gemeenten|Stedelijkheid|Omschrijving","Statistische gegevens|Inwonertal","Statistische gegevens|Omgevingsadressendichtheid"
"Heerde","GM0246","Heerde","Heerde","AM06","TriangleofCitiesandNorthwestVeluwe","AR03","Gelderland","CR13","Veluwe","CS130","Veluwe","CP1300","Veluwe","GG1413","GGDNorthandEastGelderland","JZ17","MiddleIJssel/EastVeluwe","KK43","East","LB2501","EasternVeluwe","LG05","CentralLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES12","Cleantech","MC10","IJssel-Vecht","RA0206","TriangleofCities&NorthVeluwe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1201","Cleantech","TR08","VeluweandVeluweedge","VT14","NorthandEastGelderland","VR06","NorthandEastGelderland","ZK03","Apeldoorn/Zutphen","3","10,000to20,000inhabitants","4","Notveryurban","18776","615"
"Heerenveen","GM0074","Heerenveen","Heerenveen","AM02","Friesland","AR05","NorthernNetherlands","CR06","SoutheastFriesland","CS060","SoutheastFriesland","CP0600","SoutheastFriesland","GG7206","GGDFriesland","JZ02","Friesland(Fryslân)","KK42","North","LB2103","TheWoods","LG03","NorthernMeadowArea","LD01","NorthernNetherlands","PV21","Friesland","RE01","NorthernNetherlands","ES02","Friesland","MC06","Friesland-East","RA0103","Friesland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0201","Friesland","TR12","Groningen,FrisianandDrenthesandysoils","VT04","Friesland","VR02","Friesland","ZK08","Friesland","5","50,000to100,000inhabitants","3","Moderatelyurban","50650","1092"
"Heerhugowaard","GM0398","Heerhugowaard","Heerhugowaard","AM15","NorthHollandNorth","AR02","NorthHolland","CR19","Alkmaarandsurroundings","CS190","Alkmaarandsurroundings","CP1900","Alkmaarandsurroundings","GG2707","MunicipalHealthServiceHollands-Noorden","JZ06","Alkmaar(NorthKennemerland)","KK41","Northwest","LB2705","WestFrieslandandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC24","NorthKennemerland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1502","Alkmaarregion","TR17","OtherNetherlands","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","5","50,000to100,000inhabitants","2","Stronglyurban","58387","1693"
"Heerlen","GM0917","Heerlen","Heerlen","AM30","SouthLimburg","AR09","Limburg","CR39","SouthLimburg","CS390","SouthLimburg","CP3900","SouthLimburg","GG6106","GGDSouthLimburg","JZ41","SouthLimburg","KK44","South","LB3102","SouthLimburg","LG14","SouthLimburg","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES30","SouthLimburg","MC39","SouthLimburgRegion","RA1428","SouthLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET3001","ParkCity","TR15","SouthLimburg","VT25","SouthLimburg","VR24","Limburg-South","ZK31","SouthLimburg","5","50,000to100,000inhabitants","2","Stronglyurban","86936","1817"
"Heeze-Leende","GM1658","Heeze-Leende","Heeze+Leende","AM28","South-eastBrabant","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3008","CentralNorthBrabant","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR13","WestandCentralBrabant","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","3","10,000to20,000inhabitants","4","Notveryurban","16243","585"
"Heiloo","GM0399","Heiloo","Heiloo","AM15","NorthHollandNorth","AR02","NorthHolland","CR19","Alkmaarandsurroundings","CS190","Alkmaarandsurroundings","CP1900","Alkmaarandsurroundings","GG2707","MunicipalHealthServiceHollands-Noorden","JZ06","Alkmaar(NorthKennemerland)","KK41","Northwest","LB2708","Kennemerland","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC24","NorthKennemerland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1502","Alkmaarregion","TR17","OtherNetherlands","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","4","20,000to50,000inhabitants","3","Moderatelyurban","24144","1358"
"The Helder","GM0400","TheHelder","BrightDen","AM15","NorthHollandNorth","AR02","NorthHolland","CR18","HeadofNorthHolland","CS180","HeadofNorthHolland","CP1800","HeadofNorthHolland","GG2707","MunicipalHealthServiceHollands-Noorden","JZ03","HeadofNorthHolland","KK41","Northwest","LB2704","TexelandLandofZijpe","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC23","HeadofNorthHolland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1501","HeadofNorthHolland","TR02","NorthSeaseasideresorts","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","5","50,000to100,000inhabitants","2","Stronglyurban","56582","1696"
"Hellendoorn","GM0163","Hellendoorn","Hellendoorn","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","4","20,000to50,000inhabitants","4","Notveryurban","35932","818"
"Hellevoetsluis","GM0530","Hellevoetsluis","Hellevoetsluis","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS291","Rhineestuary","CP2910","Rhineestuary","GG4607","MunicipalHealthServiceRotterdam-Rijnmond","JZ29","Rhineestuary","KK45","Southwest","LB2801","Voorne-PuttenandHoekscheWaard","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES23","Rotterdam/TheHague","MC29","Rhineestuary","RA0919","Rhineestuary","RT13","TheHagueCourtofAppeal","ET2301","Rotterdam/TheHague","TR04","Deltaarea","VT18","Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond","ZK29","SouthHollandIslands","4","20,000to50,000inhabitants","2","Stronglyurban","40312","1523"
"Helmond","GM0794","Helmond","Helmond","AM32","Helmond-DePeel","AR10","EastBrabant","CR36","South-eastNorthBrabant","CS360","South-eastNorthBrabant","CP3600","South-eastNorthBrabant","GG5608","GGDBrabant-Southeast","JZ39","South-eastBrabant","KK44","South","LB3010","WesternPeelarea","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES26","EindhovenMetropolitanRegion","MC37","South-eastBrabant","RA1326","South-eastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2601","EindhovenMetropolitanRegion","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT26","South-eastBrabant","VR22","BrabantSoutheast","ZK30","South-eastBrabant","5","50,000to100,000inhabitants","2","Stronglyurban","92627","1784"
"Hendrik-Ido-Ambacht","GM0531","Hendrik-Ido-Ambacht","Hendrik+Ido+Ambacht","AM23","Drechtsteden","AR08","Rotterdam","CR30","SoutheastSouthHolland","CS300","SoutheastSouthHolland","CP3002","OtherSoutheastSouthHolland","GG4816","Health&YouthServiceZHZ","JZ31","SouthHollandSouth","KK45","Southwest","LB2802","Rotterdamandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES18","Drechtsteden","MC30","SouthHolland-South","RA1121","SouthHollandSouth","RT13","TheHagueCourtofAppeal","ET1801","Drechtsteden","TR17","OtherNetherlands","VT24","SouthHolland-South","VR18","SouthHolland-South","ZK24","Valuesland","4","20,000to50,000inhabitants","2","Stronglyurban","31258","1826"
"Hengelo (O.)","GM0164","Hengelo","Hengelo","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","5","50,000to100,000inhabitants","2","Stronglyurban","81049","1845"
"'s-Hertogenbosch","GM0796","'s-Hertogenbosch","Hertogenbosch's-","AM27","NortheastBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS351","Urbanregion's-Hertogenbosch","CP3510","Urbanregion's-Hertogenbosch","GG5406","GGDHeartforBrabant","JZ33","NortheastBrabant","KK44","South","LB3004","EasternLongStreet","LG10","Riverarea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES27","NortheastBrabant","MC36","North-EastBrabant","RA1325","NortheastBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2701","NortheastBrabant","TR13","WestandCentralBrabant","VT16","BrabantNortheast","VR21","NorthBrabant","ZK19","NortheastBrabant","7","150,000to250,000inhabitants","2","Stronglyurban","155490","1992"
"Heumen","GM0252","Heumen","Heumen","AM08","KingdomofNijmegen","AR03","Gelderland","CR15","Arnhem/Nijmegen","CS150","Arnhem/Nijmegen","CP1500","Arnhem/Nijmegen","GG2014","MunicipalHealthServiceGelderland-South","JZ32","KingdomofNijmegen","KK43","East","LB2503","SouthernGelderland","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV25","Gelderland","RE02","EastNetherlands","ES08","Arnhem/Nijmegen","MC40","KingdomofNijmegen","RA0308","South-WestGelderland","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0801","Arnhem/Nijmegen","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT06","Gelderland-South","VR08","Gelderland-South","ZK16","Nijmegen","3","10,000to20,000inhabitants","4","Notveryurban","16569","798"
"Heusden","GM0797","Heusden","Heusden","AM26","CentralBrabant","AR10","EastBrabant","CR35","NortheastNorthBrabant","CS351","Urbanregion's-Hertogenbosch","CP3510","Urbanregion's-Hertogenbosch","GG5406","GGDHeartforBrabant","JZ35","CentralBrabant","KK44","South","LB3004","EasternLongStreet","LG10","Riverarea","LD04","SouthNetherlands","PV30","NorthBrabant","RE09","EastBrabant","ES25","HeartofBrabant","MC36","North-EastBrabant","RA1324","CentralBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2501","HeartofBrabant","TR13","WestandCentralBrabant","VT15","NorthBrabantCentral","VR21","NorthBrabant","ZK12","CentralBrabant","4","20,000to50,000inhabitants","3","Moderatelyurban","45005","1098"
"Hillegom","GM0534","Hillegom","Hillegom","AM19","HollandRhineland","AR07","TheHague","CR25","LeidenandBulbRegionagglomeration","CS250","LeidenandBulbRegionagglomeration","CP2500","LeidenandBulbRegionagglomeration","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2808","Bulbregion","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC26","SouthHolland-North","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR17","OtherNetherlands","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","4","20,000to50,000inhabitants","2","Stronglyurban","22197","1569"
"Hilvarenbeek","GM0798","Hilvarenbeek","Hilvarenbeek","AM26","CentralBrabant","AR11","Zeeland-West-Brabant","CR34","CentralNorthBrabant","CS340","CentralNorthBrabant","CP3400","CentralNorthBrabant","GG5406","GGDHeartforBrabant","JZ35","CentralBrabant","KK44","South","LB3007","TheKempen","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV30","NorthBrabant","RE08","Zeeland-West-Brabant","ES25","HeartofBrabant","MC35","CentralBrabant","RA1324","CentralBrabant","RT14","CourtofAppeal's-Hertogenbosch","ET2501","HeartofBrabant","TR13","WestandCentralBrabant","VT15","NorthBrabantCentral","VR20","CentralandWestBrabant","ZK12","CentralBrabant","3","10,000to20,000inhabitants","4","Notveryurban","15698","591"
"Hilversum","GM0402","Hilversum","Hilversum","AM12","GooiandVechtregion","AR04","CentralNetherlands","CR24","TheGooiandVechtregion","CS240","TheGooiandVechtregion","CP2400","TheGooiandVechtregion","GG3606","MunicipalHealthServiceGooiandVechtstreek","JZ16","GooiandVechtregion","KK41","Northwest","LB2707","TheGeinandGooiland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV27","NorthHolland","RE03","CentralNetherlands","ES16","NorthHollandSouth","MC20","GooiandVechtregion","RA0511","GooiandVechtregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1604","GooiandVechtregion","TR07","UtrechtHillRidgeand'tGooi","VT07","GooiandVechtregion","VR14","GooiandVechtregion","ZK21","TheGooi","5","50,000to100,000inhabitants","1","Verystrongurban","91235","2764"
"Hoeksche Waard","GM1963","HoekscheWaard","Hoeksche+Waard","AM22","Rhineestuary","AR08","Rotterdam","CR29","GreaterRhineEstuary","CS292","OtherGreaterRijnmond","CP2920","OtherGreaterRijnmond","GG4816","Health&YouthServiceZHZ","JZ31","SouthHollandSouth","KK45","Southwest","LB2801","Voorne-PuttenandHoekscheWaard","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV28","SouthHolland","RE07","Rotterdam","ES20","Hoekschewaard","MC30","SouthHolland-South","RA0919","Rhineestuary","RT13","TheHagueCourtofAppeal","ET2001","HoekscheWaard","TR04","Deltaarea","VT24","SouthHolland-South","VR18","SouthHolland-South","ZK29","SouthHollandIslands","5","50,000to100,000inhabitants","4","Notveryurban","88047","834"
"Court of Twente","GM1735","CourtofTwente","CourtofTwente","AM05","Twente","AR06","Overijssel","CR12","Twente","CS120","Twente","CP1200","Twente","GG1106","GGDTwente","JZ14","Twente","KK43","East","LB2303","Twente","LG04","EasternLivestockFarmingArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES04","Twente","MC12","Twente","RA0205","Twente","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0401","Twente","TR11","Twente,SallandandVechtregion","VT19","Twente","VR05","Twente","ZK22","Twente","4","20,000to50,000inhabitants","4","Notveryurban","35040","608"
"The Hogeland","GM1966","TheHogeland","Hogeland+The","AM01","Groningen","AR05","NorthernNetherlands","CR03","OtherGroningen","CS030","OtherGroningen","CP0300","OtherGroningen","GG0111","GGDGroningen","JZ01","Groningen","KK42","North","LB2006","EasternHighlands","LG01","BouwhoekandHogeland","LD01","NorthernNetherlands","PV20","Groningen","RE01","NorthernNetherlands","ES01","Groningen","MC02","NorthGroningen-Eemsmond","RA0101","Groningen","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0101","Groningen","TR17","OtherNetherlands","VT08","Groningen","VR01","Groningen","ZK09","Groningen","4","20,000to50,000inhabitants","5","Non-urban","47834","414"
"Dutch Crown","GM1911","DutchCrown","DutchCrown","AM15","NorthHollandNorth","AR02","NorthHolland","CR18","HeadofNorthHolland","CS180","HeadofNorthHolland","CP1800","HeadofNorthHolland","GG2707","MunicipalHealthServiceHollands-Noorden","JZ03","HeadofNorthHolland","KK41","Northwest","LB2701","WieringenandWieringermeer","LG06","IJsselmeerpolders","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC23","HeadofNorthHolland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1501","HeadofNorthHolland","TR03","IJsselmeercoast","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","4","20,000to50,000inhabitants","5","Non-urban","48583","433"
"Hoogeveen","GM0118","Hoogeveen","Hoogeveen","AM03","Drenthe","AR05","NorthernNetherlands","CR09","SouthwestDrenthe","CS090","SouthwestDrenthe","CP0900","SouthwestDrenthe","GG0706","MunicipalHealthServiceDrenthe","JZ04","Drenthe","KK42","North","LB2204","SouthernSandyAreainDrenthe","LG04","EasternLivestockFarmingArea","LD01","NorthernNetherlands","PV22","Drenthe","RE01","NorthernNetherlands","ES03","Drenthe","MC09","South-WestDrenthe","RA0102","Drenthe","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0301","Drenthe","TR12","Groningen,FrisianandDrenthesandysoils","VT02","Drenthe","VR03","Drenthe","ZK06","Drenthe","5","50,000to100,000inhabitants","3","Moderatelyurban","55603","1214"
"Horn","GM0405","Horn","Horn","AM15","NorthHollandNorth","AR02","NorthHolland","CR18","HeadofNorthHolland","CS180","HeadofNorthHolland","CP1800","HeadofNorthHolland","GG2707","MunicipalHealthServiceHollands-Noorden","JZ05","WestFriesland","KK41","Northwest","LB2705","WestFrieslandandsurroundings","LG07","WestHolland","LD03","WestNetherlands","PV27","NorthHolland","RE04","NorthHolland","ES15","NorthHollandNorth","MC22","WestFriesland","RA0614","NorthHollandNorth","RT11","AmsterdamCourtofAppeal","ET1503","WestFriesland","TR03","IJsselmeercoast","VT17","NorthHollandNorth","VR10","NorthHollandNorth","ZK18","NorthHollandNorth","5","50,000to100,000inhabitants","2","Stronglyurban","73619","1701"
"Horst on the Maas","GM1507","HorstontheMaas","HorstontheMaas","AM29","NorthLimburg","AR09","Limburg","CR37","NorthLimburg","CS370","NorthLimburg","CP3700","NorthLimburg","GG6011","GGDLimburg-Noord","JZ37","NorthLimburg","KK44","South","LB3101","NorthLimburg","LG13","SouthernLivestockFarmingArea","LD04","SouthNetherlands","PV31","Limburg","RE10","Limburg","ES29","NorthandCentralLimburg","MC38","Limburg-NorthRegion","RA1427","NorthandCentralLimburg","RT14","CourtofAppeal's-Hertogenbosch","ET2901","NorthandCentralLimburg","TR14","EastBrabant,NorthandMiddleLimburg,Nijmegen","VT13","NorthandCentralLimburg","VR23","Limburg-North","ZK17","NorthandCentralLimburg","4","20,000to50,000inhabitants","4","Notveryurban","42487","571"
"Wooden","GM0321","Wooden","Wooden","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1703","UtrechtMetropolitanArea","GG2514","GGDRegionUtrecht","JZ26","Leakagecurrent","KK41","Northwest","LB2601","CrookedRhineregionandHeuvelrug","LG10","Riverarea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR17","OtherNetherlands","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","5","50,000to100,000inhabitants","2","Stronglyurban","50223","1548"
"Houses","GM0406","Houses","Houses","AM12","GooiandVechtregion","AR04","CentralNetherlands","CR24","TheGooiandVechtregion","CS240","TheGooiandVechtregion","CP2400","TheGooiandVechtregion","GG3606","MunicipalHealthServiceGooiandVechtstreek","JZ16","GooiandVechtregion","KK41","Northwest","LB2707","TheGeinandGooiland","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV27","NorthHolland","RE03","CentralNetherlands","ES16","NorthHollandSouth","MC20","GooiandVechtregion","RA0511","GooiandVechtregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1604","GooiandVechtregion","TR03","IJsselmeercoast","VT07","GooiandVechtregion","VR14","GooiandVechtregion","ZK21","TheGooi","4","20,000to50,000inhabitants","2","Stronglyurban","41090","2040"
"Holly","GM0677","Holly","Holly","AM24","Zealand","AR11","Zeeland-West-Brabant","CR31","ZeelandFlanders","CS310","ZeelandFlanders","CP3100","ZeelandFlanders","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2903","ZeelandFlanders","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC33","ZeelandFlanders","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR04","Deltaarea","VT23","Zealand","VR19","Zealand","ZK27","Zealand","4","20,000to50,000inhabitants","4","Notveryurban","27575","511"
"IJsselstein","GM0353","IJsselstein","IJsselstein","AM13","CentralUtrecht","AR04","CentralNetherlands","CR17","Utrecht","CS170","Utrecht","CP1703","UtrechtMetropolitanArea","GG2514","GGDRegionUtrecht","JZ26","Leakagecurrent","KK41","Northwest","LB2602","WesternPastureAreainUtrecht","LG09","Dutch/UtrechtMeadowArea","LD03","WestNetherlands","PV26","Utrecht","RE03","CentralNetherlands","ES14","U16","MC19","Utrecht","RA0512","Utrechtandsurroundings","RT12","Arnhem-LeeuwardenCourtofAppeal","ET1401","U16","TR17","OtherNetherlands","VT20","Utrecht","VR09","Utrecht","ZK23","Utrecht","4","20,000to50,000inhabitants","2","Stronglyurban","33819","1862"
"Kaag and Braassem","GM1884","KaagandBraassem","Kaag","AM19","HollandRhineland","AR07","TheHague","CR25","LeidenandBulbRegionagglomeration","CS250","LeidenandBulbRegionagglomeration","CP2500","LeidenandBulbRegionagglomeration","GG4506","MunicipalHealthServiceHollands-Midden","JZ18","HollandRhineland","KK45","Southwest","LB2804","WesternRhineland","LG07","WestHolland","LD03","WestNetherlands","PV28","SouthHolland","RE06","TheHague","ES21","HollandRhineland","MC26","SouthHolland-North","RA0818","Rhineregion","RT13","TheHagueCourtofAppeal","ET2101","HollandRhineland","TR06","Dutch-Utrechtlakes","VT10","Hollands-Middle","VR16","Hollands-Middle","ZK28","SouthHollandNorth","4","20,000to50,000inhabitants","4","Notveryurban","27541","631"
"Camps","GM0166","Camps","Camps","AM36","Zwolleregion","AR06","Overijssel","CR10","NorthOverijssel","CS100","NorthOverijssel","CP1000","NorthOverijssel","GG1009","GGDIJsselland","JZ07","IJsselland","KK43","East","LB2301","PasturelandinOverijssel","LG03","NorthernMeadowArea","LD02","EastNetherlands","PV23","Overijssel","RE02","EastNetherlands","ES05","WestOverijssel","MC10","IJssel-Vecht","RA0204","Zwolleregion","RT12","Arnhem-LeeuwardenCourtofAppeal","ET0501","WestOverijssel","TR03","IJsselmeercoast","VT11","IJsselland","VR04","IJsselland","ZK32","Zwolle","5","50,000to100,000inhabitants","3","Moderatelyurban","54474","1476"
"Chapel","GM0678","Chapel","Chapel","AM24","Zealand","AR11","Zeeland-West-Brabant","CR32","OtherZeeland","CS320","OtherZeeland","CP3200","OtherZeeland","GG5006","GGDZeeland","JZ38","Zealand","KK45","Southwest","LB2902","WalcherenandSouthBeveland","LG11","SouthwesternArableFarmingArea","LD03","WestNetherlands","PV29","Zealand","RE08","Zeeland-West-Brabant","ES24","Zealand","MC31","EasternScheldtregion","RA1222","Zealand","RT14","CourtofAppeal's-Hertogenbosch","ET2401","Zealand","TR04","Deltaarea","VT23","Zealand","VR19","Zealand","ZK27","Zealand","3","10,000to20,000inhabitants","4","Notveryurban","12882","653"
